Title,Company_Name,Company_URL,Job_Location,Seniority_level,Employment_type,Job_function,Industries,About,Job_URL,Posted,Collected
Software Engineer,Kyulux,https://jp.linkedin.com/company/kyulux?trk=public_jobs_topcard-org-name,"Boston, MA",Entry level,Full-time,Engineering and Information Technology,"Appliances, Electrical, and Electronics Manufacturing","Company DescriptionKyulux, established in Japan in 2015, is a pioneer in developing next-generation materials for OLED displays and lighting. With exclusively-licensed technology from Kyushu University, Kyulux creates hyperfluorescence TADF emitters for hyperfluorescence OLEDs. These OLEDs combine TADF and fluorescence emitters to enable highly efficient emission, low cost, and high color purity. Kyulux North America (KNA) is the U.S. subsidiary of Kyulux, and KNA is responsible for developing software tools and systems for our cheminformatics system, Kyumatic, which utilizes machine learning and data science on theoretical and experimental data. Role DescriptionThis is a full-time hybrid role for a Software Engineer at Kyulux North America (Junior-Mid level). As a Software Engineer, you will be responsible for, but not limited to; Maintain the Django backend and React frontendOversee CI/CD processes on AWS, GCP, and Github ActionMaintain clolud and on-premise servers(Linux machine)Write codes with proper version controlCollaborate with R&D members across the whole company  Qualifications> Requirement:Bachelor's degree or relevant experience in CS 3+ years of experience in software development using python (or javascript/node.js/typescript)2+ years of backend development experienceProficiency in linux environmentsProficiency in version control & CI/CDKnowledge of REST API designKnowledge of databases, networking, data structures, and algorithms> Preferred skills: Knowledge of cloud platformsExperience with Django or React is a plusExperience in optimizing SQL queries is a plusExperience in Airflow and Kubernetes for pipeline managementCheminformatics background and experience",https://www.linkedin.com/jobs/view/software-engineer-at-kyulux-3892532222?position=1&pageNum=5&refId=uhUn10p92h84YdxOpzJXUA%3D%3D&trackingId=xTtIktzOBuQfus0L4nX1dw%3D%3D&trk=public_jobs_jserp-result_search-card,16 minutes ago,2024-04-10 17:51:54.781835
Desenvolvedor Full Stack,Pasquali Solution,https://br.linkedin.com/company/pasquali-solution-tech?trk=public_jobs_topcard-org-name,"Home, KS",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,"Requisitos ObrigatóriosFlutterAngularExperiência em liderança técnica em MobileExperiência com frameworks e metodologias ágeis (Scrum, Kanban, Lean ou XP)Experiência com criação de DAS e arquiteturas para novas featuresExperiência com o controle da cadência de entrega downstream Requisitos DesejáveisDesenvolvimento backend.Net framework e .Net CoreDesenvolvimento de microserviçosDesenvolvimento com mobile Android e iOSCI/CD (Jenkins, Azure DevOps, GitLab, Git Actions)MONGO e KAFKASaber fazer o deploy de aplicativos na Apple Store e Google PlayTestes unitários e Testes funcionaisBanco de dados: Oracle e SQL ServerCultura de Code Review",https://www.linkedin.com/jobs/view/desenvolvedor-full-stack-at-pasquali-solution-3887715237?position=2&pageNum=5&refId=uhUn10p92h84YdxOpzJXUA%3D%3D&trackingId=gbwhnciUwAXSxXhJUxJAFw%3D%3D&trk=public_jobs_jserp-result_search-card,4 days ago,2024-04-10 17:51:54.781835
Social Media Business Strategist,Haute Living,https://www.linkedin.com/company/haute-living-magazine?trk=public_jobs_topcard-org-name,"Miami, FL",Mid-Senior level,Full-time,"Marketing, Strategy/Planning, and Art/Creative",Advertising Services,"The ideal candidate is a hard-working team player who will play a critical role in creating original digital content across various social media platforms along with our company core accounts covering luxury lifestyle. Must be based in Miami, and able to work in office located in Miami, Brickell. ResponsibilitiesDevelop social media strategy for agency clientsCreate original contentProvide data analysis and metric reporting for clientsQualificationsProficiency in many social media platformsFluency in social media softwares such as hootsuite, sprout social",https://www.linkedin.com/jobs/view/social-media-business-strategist-at-haute-living-3875349216?position=3&pageNum=5&refId=uhUn10p92h84YdxOpzJXUA%3D%3D&trackingId=kctFZ5xBwNmr2LMcHK%2F%2FJA%3D%3D&trk=public_jobs_jserp-result_search-card,1 week ago,2024-04-10 17:51:54.781835
Software Developer,Oracle,https://www.linkedin.com/company/oracle?trk=public_jobs_topcard-org-name,United States,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,"Job DescriptionDesign, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc.Career Level - IC2ResponsibilitiesAs a member of the software engineering division, you will apply basic to intermediate knowledge of software architecture to perform software development tasks associated with developing, debugging or designing software applications or operating systems according to provided design specifications. Build enhancements within an existing software architecture and occasionally suggest improvements to the architecture.QualificationsDisclaimer:Certain US customer or client-facing roles may be required to comply with applicable requirements, such as immunization and occupational health mandates.Range and benefit information provided in this posting are specific to the stated locations onlyUS: Hiring Range: from $62,100 - $158,200 per year. May be eligible for bonus and equity.Oracle maintains broad salary ranges for its roles in order to account for variations in knowledge, skills, experience, market conditions and locations, as well as reflect Oracle’s differing products, industries and lines of business.Candidates are typically placed into the range based on the preceding factors as well as internal peer equity.Oracle US offers a comprehensive benefits package which includes the following: Medical, dental, and vision insurance, including expert medical opinion Short term disability and long term disability Life insurance and AD&D Supplemental life insurance (Employee/Spouse/Child) Health care and dependent care Flexible Spending Accounts Pre-tax commuter and parking benefits 401(k) Savings and Investment Plan with company match Paid time off: Flexible Vacation is provided to all eligible employees assigned to a salaried (non-overtime eligible) position. Accrued Vacation is provided to all other employees eligible for vacation benefits. For employees working at least 35 hours per week, the vacation accrual rate is 13 days annually for the first three years of employment and 18 days annually for subsequent years of employment. Vacation accrual is prorated for employees working between 20 and 34 hours per week. Employees working fewer than 20 hours per week are not eligible for vacation. 11 paid holidays Paid sick leave: 72 hours of paid sick leave upon date of hire. Refreshes each calendar year. Unused balance will carry over each year up to a maximum cap of 112 hours. Paid parental leave Adoption assistance Employee Stock Purchase Plan Financial planning and group legal Voluntary benefits including auto, homeowner and pet insuranceAbout UsAs a world leader in cloud solutions, Oracle uses tomorrow’s technology to tackle today’s problems. True innovation starts with diverse perspectives and various abilities and backgrounds.When everyone’s voice is heard, we’re inspired to go beyond what’s been done before. It’s why we’re committed to expanding our inclusive workforce that promotes diverse insights and perspectives.We’ve partnered with industry-leaders in almost every sector—and continue to thrive after 40+ years of change by operating with integrity.Oracle careers open the door to global opportunities where work-life balance flourishes. We offer a highly competitive suite of employee benefits designed on the principles of parity and consistency. We put our people first with flexible medical, life insurance and retirement options. We also encourage employees to give back to their communities through our volunteer programs.We’re committed to including people with disabilities at all stages of the employment process. If you require accessibility assistance or accommodation for a disability at any point, let us know by calling +1 888 404 2494, option one.Disclaimer:Oracle is an Equal Employment Opportunity Employer*. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans’ status, or any other characteristic protected by law. Oracle will consider for employment qualified applicants with arrest and conviction records pursuant to applicable law. Which includes being a United States Affirmative Action Employer",https://www.linkedin.com/jobs/view/software-developer-at-oracle-3888166525?position=4&pageNum=5&refId=uhUn10p92h84YdxOpzJXUA%3D%3D&trackingId=vDG1gV3HwWDrZ50je2komg%3D%3D&trk=public_jobs_jserp-result_search-card,10 hours ago,2024-04-10 17:51:54.781835
Software Engineer,Phoenix Home Care and Hospice,https://www.linkedin.com/company/phoenixhomehc?trk=public_jobs_topcard-org-name,"Longmont, CO",Entry level,Full-time,Engineering,"Technology, Information and Internet","About SparkFunSince 2003, SparkFun has been helping turn ideas into reality – whether you’re creating a smart weather station, exploring the frontier of machine learning, building a robot for school or prototyping your first (or tenth) product. No matter your vision or skill level, our open source components, resources and online tutorials are designed to broaden access to innovative technology and make the road to a finished project shorter.We are an equal opportunity employer that values a diverse workforce and an inclusive culture. SparkFun offers an abundance of opportunities to learn new skills from other Funions, in addition to many other benefits and perks.About SparkFun's Next Software EngineerSparkFun is looking to add a Software Engineer to join our Engineering team to design, create and maintain the software delivered with our single board computer products. The Software Engineer is an important role within SparkFun, developing and delivering key functionality to the products and solutions we create for our customers.Working closely with other members of our Engineering team, the Software Engineer is responsible for the software components of the products we build – ranging from sensors, microprocessors, and single board computers.The Software Engineer is a member of SparkFun’s Engineering team, reporting to the Engineering Department Manager.The right candidate collaboratively works with a variety of internal and external customers, as well as other members of the Engineering team to develop software components for SparkFun products. Following a user-centered design approach, the Software Engineer ensures the design, development and delivery of a software solution that not only meets functional needs, but user desires and skill levels.Essential Job FunctionsResearch, design and implement software solutions for microcontrollers and single board computersDevelop cross platform solutions that operate across a wide variety microcontroller environmentsWork closely with hardware engineers to develop software solutions that seamlessly work with new productsDescribe the developed functionality through documentation, tutorials, and examplesWork as a key member of a cross-functional product development team. Work closely with the open source software community, collaborating with larger products, as well as supporting SparkFun created solutions. Meet with internal customers and facilitate the creation of requirements and user stories  Facilitate the elaboration of customer requirements into development user stories and acceptance tests RequirementsRequired Skills and Qualifications:Expert in MicroPython and Python developmentExperience with the Arduino development ecosystemExperience with embedded C/C++ developmentFamiliarity with hardware communication protocols (I2C, I2S, SPI)Experience with robotics and educational robot platformsExperience with network development, and internet-of-things network patterns and protocols. Familiarity with DIY projects that involve electronics, microcontrollers, single board computers and programming. Familiarity with user-centric software development 3+ years software experienceExcellent communication skillsAdditional Qualifications (not Required)Experience with Open Source software and community driven developmentExperience with version control software, tools and methodologies (git, github.com)BenefitsSparkFun Benefits & PerksAt SparkFun, we ask a lot of our employees, and that’s why we give so much in return. Here are just some of the benefits:Competitive salaryMedical/dental/vision planMatching 401(k), A casual dress code for youDogs - yes, we bring dogs to work Full gym with climbing wall. If that’s not your style we offer a monthly gym stipend or onsite yogaWe have a great employee discount and opportunities to create and share content with the SparkFun communityPaid Parental LeavePaid time to volunteerEcoPass (public transportation pass)Flexible Paid Time OffSummer BBQs, work parties, and more!",https://www.linkedin.com/jobs/view/software-engineer-at-phoenix-home-care-and-hospice-3888119180?position=5&pageNum=5&refId=uhUn10p92h84YdxOpzJXUA%3D%3D&trackingId=pI504BobCt59xeXAm5oCdA%3D%3D&trk=public_jobs_jserp-result_search-card,15 hours ago,2024-04-10 17:51:54.781835
Software Developer - Entry/Junior,SynergisticIT,https://www.linkedin.com/company/synergisticit?trk=public_jobs_topcard-org-name,"Dallas, TX",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,"Since 2010 Synergisticit has helped Jobseekers differentiate themselves by providing candidates the requisite skills and experience to outperform at interviews and clients. Here at SynergisticIT We just don't focus on getting you a Job we make careers.All Positions are open for all visas and US citizensWe at Synergisticit understand the problem of the mismatch between employer's requirements and Employee skills and that's why since 2010 we have helped 1000's of candidates get jobs at technology clients like apple, google, Paypal, western union, Client, visa, walmart lab s etc to name a few.We have an excellent reputation with the clients. Currently, We are looking for entry-level software programmers, Java Full stack developers, Python/Java developers, Data analysts/ Data Scientists, Machine Learning engineers for full time positions with clients.Who Should Apply Recent Computer science/Engineering /Mathematics/Statistics or Science Graduates or People looking to switch careers or who have had gaps in employment and looking to make their careers in the Tech Industry.We assist in filing for STEM extension and also for H1b and Green card filing to CandidatesIf you applied for a job and got emails from our Job Placement Program team please email them or ask them to take you off their distribution list and make you unavailable as they share the same database with the client servicing team.please check the below links to see success outcomes of our candidates and our participation at different Tech industry events and how we are different from other organizations in helping Jobseekers secure Tech careers(url removed)We regularly interact with the Top Tech companies to give our candidates a competitive advantage-Please see us exhibiting at Oracle Cloud world /Oracle Java one (Las vegas) -2023/2022 and at Gartner Data Analytics Summit (Florida)-2023(url removed)(url removed)For preparing for interviews please visit (url removed)We are looking for the right matching candidates for our clientsPlease apply via the job postingREQUIRED SKILLS For Java /Full Stack/Software ProgrammerBachelors degree or Masters degree in Computer Science, Computer Engineering, Electrical Engineering, Information Systems, ITHighly motivated, self-learner, and technically inquisitiveExperience in programming language Java and understanding of the software development life cycleProject work on the skillsKnowledge of Core Java , javascript , C++ or software programmingSpring boot, Microservices, Docker, Jenkins and REST API's experienceExcellent written and verbal communication skillsFor data Science/Machine learning PositionsRequired SkillsBachelors degree or Masters degree in Computer Science, Computer Engineering, Electrical Engineering, Information Systems, ITProject work on the technologies neededHighly motivated, self-learner, and technically inquisitiveExperience in programming language Java and understanding of the software development life cycleKnowledge of Statistics, SAS, Python, Computer Vision, data visualization toolsExcellent written and verbal communication skillsPreferred skills: NLP, Text mining, Tableau, PowerBI, SAS, TensorflowIf you get emails from our Job Placement team and are not interested please email them or ask them to take you off their distribution list and make you unavailable as they share the same database with the client servicing team who only connect with candidates who are matching client requirements.No phone calls please. Shortlisted candidates would be reached out. No third party or agency candidates or c2c candidates",https://www.linkedin.com/jobs/view/software-developer-entry-junior-at-synergisticit-3890687376?position=6&pageNum=5&refId=uhUn10p92h84YdxOpzJXUA%3D%3D&trackingId=5C07YexiqInNbE8yWHlyKw%3D%3D&trk=public_jobs_jserp-result_search-card,20 hours ago,2024-04-10 17:51:54.781835
Software Engineer (Java),Bellwood,https://www.linkedin.com/company/bellwood-labs?trk=public_jobs_topcard-org-name,"Atlanta, GA",Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing,"About The JobWe are seeking a Software Engineer (Java) to build and scale business-critical web products.This is a unique opportunity to work alongside an experienced team that excels at building quality client products at scale. This position reports to the CEO.QualificationsEssential skills: Experience with Java / Spring Boot (C# / .NET experience may be considered). React skills are a plus.Helpful skills: AWS, Kubernetes, Docker, Argo CD, Atlas, and GitHub ActionsThe role also requires a voracious appetite to learn and apply new skills. You should be skilled at building web-based software or mobile apps, and excel at building software with different sets of tools and in different client environments.Key Responsibilities include:Design, build, scale, and enhance Software Products, Apps, and Platforms based on Client Needs and Business RequirementsCommunicate Technical Topics clearly, in language that can be easily understood by ClientsCollaborate with Designers, and Product Teams to propose solutions to meet the goals of Clients and their ProductsDefine, refine, and document Best Practices that enable excellent team performanceWe’re looking for someone who:Has 3+ years of full-stack software development experienceHas experience building and scaling Software ProductsHas experience architecting and deploying Software Products to Cloud Providers like Google Cloud, Amazon Web Services, or AzureBenefitsRemoteUnlimited PTOSubsidized Medical, Dental, and Vision InsuranceShort/Long Term Disability401k PlanProfit SharingReferral BonusesCompany RetreatsCompany DescriptionBellwood Labs is a dynamic Product Development Consultancy. We're a team of developers, designers, marketers and entrepreneurs that companies turn to when they want to take a software product from conception to creation.Our MissionBellwood Labs seeks to be and be known as the most trusted partner to develop and advance software products.Our Core ValuesWe Embrace Your GoalsWe Own our CommitmentsWe Succeed through EmpathyWe Take the Next StepJoin our tight-knit team of sharp technologists to leverage your talents and grow your skills. We are looking forward to meeting with you!Powered by JazzHRLiFydwP4m4",https://www.linkedin.com/jobs/view/software-engineer-java-at-bellwood-3872849916?position=7&pageNum=5&refId=uhUn10p92h84YdxOpzJXUA%3D%3D&trackingId=%2FbTL%2B9A%2F%2BmlCo3Wp9FSxIg%3D%3D&trk=public_jobs_jserp-result_search-card,2 weeks ago,2024-04-10 17:51:54.781835
Software Engineer - Builders,CoinList,https://www.linkedin.com/company/coinlist?trk=public_jobs_topcard-org-name,"New York, NY",Entry level,Full-time,Engineering,"Technology, Information and Internet","CoinList is where early adopters invest in and trade the best digital assets, and is now one of the fastest growing crypto financial platforms. We support the full lifecycle of crypto investment, from token sales through token distribution, trading, lending, and crypto-specific services such as staking and access to decentralized-finance opportunities. CoinList users trade and store Bitcoin, Ether, Filecoin, and many other popular crypto assets through our full-service exchange, CoinList Pro, mobile apps and CoinList.co, while also getting access to the best new tokens before they list on other exchanges. We are the blue chip platform for blockchain companies, helping Filecoin, Blockstack, Solana, Celo, Algorand, Dapper, and others raise over $1.1 Billion. Our customer base includes validators, miners, founders, CEOs, crypto funds, bitcoin OGs, as well as a broad array of crypto enthusiasts. We are backed by top-tier investors, have offices in San Francisco, New York, Montreal and are just getting started.As an engineer at CoinList you’ll find that your days are filled with all sorts of fascinating challenges -- from developing a seamless onboarding experience, to building integrations with third party KYC/AML and fraud prevention vendors, to ensuring we have proper observability and alerting on some of our most important systems. Our work is difficult and ambitious, which is what makes it fun. Specifically, we are looking for a fullstack engineer with 3+ years of experience who is comfortable in both React and Ruby on Rails.If you are an entrepreneurial person with exceptional engineering talent, we’d love to hear from you!Who you are: You like to ship high quality code. You make deadlines for yourself and you move fast. You focus on the things that matter and push back on things that don’t. People know they can count on you to get things done You love to code. You build stuff for fun on nights and weekends. You contribute to open source. You have deep expertise in certain areas but you consider yourself a generalist and you enjoy learning new platforms You’re really smart. You were a top student in your computer science program or have been teaching yourself programming from an early age. You like being around people who challenge you You’re curious. You want to understand how things work. You value interesting things, especially outside your discipline. You like teaching others and constantly learning. You read and question things You’re scrappy and entrepreneurial. You’ve built apps for fun and worked on side projects before. You’re interested in all aspects of startups - from user testing, to marketing, to raising capital. If you haven’t already started your own company, you think you might like to in the future You care about the product. You might not be a product expert, but you value good design. You enjoy thinking about why certain products work and discussing new apps. You want to build delightful products that users love and that make people’s lives more meaningful You have good values. You enjoy hanging out with your teammates, make the workplace more fun for everyone, and care about doing the right thing You are a 10x thinker, far more excited by huge disruptions than by small improvements. If something is hard, that makes it more fun, and you know that if anyone can figure it out, you canWhat you will do: You’ll contribute in all areas. You might choose to go deep in web development or building open source dev tools to automate our operations, but like your teammates you’ll make a habit of working across the stack, frequently picking up new languages and platforms as needed You’ll ship product. From hack days, to experimental prototypes, to developing a new type of auction model, you’ll constantly be building and shipping product. You’ll write clean, well-documented code, do unit tests, follow best practices, and have the benefit of working in a place where people move fast You’ll rapidly grow and improve. At CoinList you’ll be working with some of the smartest engineers you’ve ever met, who love to learn and teach each other. You’ll find yourself stretching to new areas, immersed in feedback, and engrossed in deep conversations on a daily basis You’ll help shape the product. Our whole team cares deeply about the product and has significant input into its development. You’ll beta test new prototypes and talk directly with users, and your ideas will always be heard You’ll learn about startups. From fundraising, to recruiting, to negotiating an office lease, you’ll learn everything there is to know about growing and running a startup of your own, and we’ll do everything we can to connect you with mentors and advisors to help you with your career for years to come You’ll be an owner. We believe in hiring smart people and giving them as much responsibility as they can handle. Whether it’s running a critical token sale or leading our work on a new platform, we’ll make sure you are always pushing yourself to new levels You’ll create the future. Crypto is a far bigger deal than most people realize, and at CoinList you will be be at the forefront of it. There are all sorts of technical challenges you’ll be working though and new questions you’ll have to answer, in partnership with founders for the leading crypto projects across the globe. If you’re successful, you’ll build something the world has never before seenAs an early employee at CoinList you will be a critical part of our core team and have a huge influence over the direction of the company. We will compensate you well, invest deeply in your development, and do everything we can to make sure this is the single best work experience of your life. At CoinList, we are proud to be an Equal Opportunity Employer. We celebrate diversity, value our differences, and are committed to creating an inclusive environment for all employees. Base salary range: 175 - 215k + equity + bonus. We are open to a range of background and experience for this senior role.",https://www.linkedin.com/jobs/view/software-engineer-builders-at-coinlist-3891680478?position=8&pageNum=5&refId=uhUn10p92h84YdxOpzJXUA%3D%3D&trackingId=u5VIGwGE1n5RXRkaLp4X6Q%3D%3D&trk=public_jobs_jserp-result_search-card,3 weeks ago,2024-04-10 17:51:54.781835
Software Engineer I,Chewy,https://www.linkedin.com/company/chewy-com?trk=public_jobs_topcard-org-name,"Bellevue, WA",Entry level,Full-time,Engineering and Information Technology,Retail,"Our OpportunityChewy is hiring a  Software Engineer I - Java for our Pet Health team. As a Software Engineer you will design and develop and operational oversight over features and systems at Chewy. You will design, developing impactful software capabilities to enhance or create new functionality needed to grow Chewy. You will have the opportunity to be part of a high performing engineering team where we value broad-based technical skills in cloud-based services, databases, security, server-less technologies, and more.What You’ll DoDesign and develop resilient system for a customer-facing web applicationsYou will have responsibility over components of Chewy’s systems – both development and operational needs.Drive innovation through rapid prototyping and iterative developmentBe involved design reviews and perform code reviews based on Chewy’s engineering rigor and standardsDebug production issues in Chewy services and tech stackMeasure and optimize the performance, effectiveness, and uptime of backend servicesWhat You’ll NeedBachelor’s Degree (MIS or CS preferred) or equivalent work experience2+ years of experience in an object-oriented language such as JavaMinimum 1 year of software development in Java8/Spring Boot stackMinimum of 1 year of cloud architecture and service development experienceBe a hands-on Engineer spending significant percentage of their time writing code or debugging issuesKnowledge of professional software engineering practices for the full software development life cycle including coding standards, code reviews, source control management, build processes, testing, and operationsProficiency in Computer Science fundamentals – object-oriented design, data structures, algorithm - design, problem solving, and complexity analysisanalytical abilities & knowledge of design patternsExperience with building and deploying featuresAbility to learn domain knowledge in the area of e-commerceBonus (if Applicable)Experience in e-commerceExperience with agile methodologies a plusGood communication skills with technical audiencesExperience with cloud & orchestration technologies (AWS Services, Terraform, Ansible, etc.)Background with modern tools and environments (e.g., web services, version control systems, bug/issue tracking tools)Experience with configuration and deployment management via TerraformCompensation & BenefitsOur salary range for a Software Engineer I position is $100,000.00 - $159,000.00. The specific salary offered to a candidate may be influenced by a variety of factors including but not limited to the candidate’s relevant experience, education, and work location. In addition, this position is eligible for 401k and a new hire and annual equity grant.We offer different types of insurance, such as medical/Rx, vision, dental, life, disability, hospital indemnity, critical illness, and accident. We offer parental leave, family services benefits, backup dependent care, flexible spending accounts, telemedicine, pet adoption reimbursement, employee assistance program, and many discounts including 10% off pet insurance and 20% off at Chewy.com.Non-exempt hourly team members accrue paid time off (PTO) while salaried-exempt team members have unlimited PTO, subject to manager approval. Non-exempt hourly team members in Fulfillment Centers and Customer Service are also eligible for additional unplanned unpaid time off (UTO). Team members will receive six paid holidays per year. Team members may be eligible for paid sick and family leave in compliance with applicable state and local regulations.Chewy is committed to equal opportunity. We value and embrace diversity and inclusion of all Team Members. If you have a disability under the Americans with Disabilities Act or similar law, and you need an accommodation during the application process or to perform these job requirements, or if you need a religious accommodation, please contact CAAR@chewy.com.If you have a question regarding your application, please contact HR@chewy.com.To access Chewy's Customer Privacy Policy, please click here. To access Chewy's California CPRA Job Applicant Privacy Policy, please click here.",https://www.linkedin.com/jobs/view/software-engineer-i-at-chewy-3891555297?position=9&pageNum=5&refId=uhUn10p92h84YdxOpzJXUA%3D%3D&trackingId=hmyh9arP7XdQ9VllO%2B5WXg%3D%3D&trk=public_jobs_jserp-result_search-card,17 hours ago,2024-04-10 17:51:54.781835
Software Test Engineer,Rishabh Software,https://in.linkedin.com/company/rishabh-software?trk=public_jobs_topcard-org-name,"Santa Clara, CA",Not Applicable,Other,Engineering and Information Technology,IT Services and IT Consulting,"Job Title: Software Test engineerLocation: Santa Clara, CADuration: 3 months+DescriptionReq ID:141963-1Role: Software Test Engineer 5Location: Onsite; Santa Clara, CAYears of Exp: 5 Yrs""Candidate Requirements Years of Experience Required: 5+ overall years of experience in the field. Degrees or certifications required: Bachelor's degree in Computer Science preferred. Disqualifiers: Candidates with lack of specifications in their resumes Best vs. Average: The ideal resume would contain experience with Linux and windows. Performance Indicators: Performance will be assessed based on quality of work and meeting deadlines.Top 3 Hard Skills Required + Years of Experience 1. Programming (python, experience c and c++ (2+ YOE in C, C++) 5+ YOE 2. Specialization in quality (need extensive experience working with testing environments, testing, unit testing, integration testing related to hardware specifically – doesn’t matter what, but experience with testing in hardware environment) 4-5 YOE 3. Understanding of DevOps and understanding that environment. 5+ YOE""""Summary:Defines and executes all testing issues and other tasks necessary to complete and ship a world class product. Uses knowledge of user needs to influence product direction and contributes significantly to product specification. Work with project managers and developers to help define the spec of the project as it relates to product test cycle. Provides leadership to others as needed on projects.Skills: 5 plus years work related experience required. Consistent demonstration of superior testing or management techniques required. Knowledge of one or more programming or scripting languages required. Advanced knowledge of both manual and automated testing principals. Must have the ability to solve difficult problems. Must have demonstrated superior testing and project management skills through production of world class products. Demonstrated high level of accountability and personal responsibility leading to the success of projects required. C# automation experience and SQL-queries, stored procedures, inner/outer joints tables, etc. may be required. Bachelor's degree in Computer Science preferred. Experience with shipping a product/product cycle strongly preferred. Bachelor's degree in Computer Science preferred.""",https://www.linkedin.com/jobs/view/software-test-engineer-at-rishabh-software-3889394290?position=10&pageNum=5&refId=uhUn10p92h84YdxOpzJXUA%3D%3D&trackingId=Y5nHuCYjKs4VtUMDgn4Lqw%3D%3D&trk=public_jobs_jserp-result_search-card,20 hours ago,2024-04-10 17:51:54.781835
