Title,Company_Name,Company_URL,Job_Location,Seniority_level,Employment_type,Job_function,Industries,About,Job_URL,Posted,Collected
Executive Assistant / EditorNEW!,New Alternatives,/co/New-Alternatives/Jobs/--in-United-States?id=D7EQgfAGu04bFR9TeSxAm_TYjUs=,"Chula Vista, CA",,Full-time,,,,https://www.ziprecruiter.com/k/l/AAKnInFqnXO8zQRz6x2md5CxTzjsKaZX86i5p-dEemjuZlF-Jwx709sx9cR2Wc5ly1NVmyQ5-m6FyCBAourcIkb42_1l3zE0_5fDnpib1Vp1wr13uubINk9bjazm1WOOR9vMkKz7rYkgJde_CIZ1k1P5ozcEkmZnXj6qnyB2CHIk8XTKYQhbz9bRVQX1M82kzHXoSu7YFNQVY2OdaHX9IPcWHtBLdhRh-XxWzCJ2Fa30evLyHR7chq2z523ADw,,2024-04-10 17:51:54.781835
Part Time Evening ReceptionistNEW!,Empress at Laurelhurst,/co/Empress-at-Laurelhurst/Jobs/--in-United-States,"Seattle, WA",,Full-time,,,,https://www.ziprecruiter.com/k/l/AAJvSvZnBDVXI1d2zoZ-EgBW7reAdyQfc26PsM0eTQKa8yuSCJp5ptikVfm5oLyg8-jKXz2B0Q2uenKgh0bRQspW95qh8BKq4I262hyOnlW9TEMtUCZo_Fo9HemC-SF5GgEzSeEW7Ng9YuAnXMCpOM07m8D1Dgz8666bw0k_R0rYDz5EwCJjZjppd8pVuM4_L70CVsb0DDn0qOrsebkY2XHv7N3boVwpvVj-cc--Pk78zXDekwpi6210xsIJrg,,2024-04-10 17:51:54.781835
Receptionist,Fairwinds Spokane,/co/Fairwinds-Spokane/Jobs/--in-United-States,"Spokane, WA",,Full-time,,,,https://www.ziprecruiter.com/k/l/AAIrJ-LjOwqYUMQXj8gDExXUUpK3OXRTiSRNIASvd0C1pDda6vVQ-V0iLIiJl7IEpvbxoxPNZaYdmeTrKo-U3faD0t95YA9lrqD2M3oO4tp0tDs3gXHq8k1pzTusl1151Ts3hdf2595Cb-ViBTreqmzDxqdPasqOBJIiblGQic22U_93yAhqlLhQna9ncgNXHZPuVvozEqLx8jRuS-mtVIPLxrF-bP6fW0sg6wZT_ZndpT2U5WF4T2RgMP776g,,2024-04-10 17:51:54.781835
Full Time Medical AssistantNEW!,BayMark Health Services,/co/BayMark-Health-Services/Jobs/--in-United-States?id=OuW5bA+PfDpNkQbrNAaM5nAU18c=,"Sacramento, CA",,Full-time,,,,https://www.ziprecruiter.com/k/l/AAI7BF_a2whBcS523vJqhIeZtPyS9VcyRis-mgjn1crhoc7pwCJeYTr0CnCmpzoFqD1a3tjgKjm_-SZ8b6y6CXmFqTq52IZDePE-t6pOY1Ie4zjs3k-hhS2eq3qAdAY4bQuhJXfnzee1-1v5GgVxQzW7uwb9oV4zLWp1jyYHtj71y1suCjOQyBVlyRbyq8gWaNL9dMUjcE0VPy3-u4kl6YKi2rFZ7JdXMILcVFO8XUUOnxTpznXGHdqswBD39g,,2024-04-10 17:51:54.781835
Maintenance Technician,Partners Personnel,/co/Partners-Personnel/Jobs/--in-United-States?id=juSNaWHcEjIIlcL7r0ib52SE_Qc=,"Fremont, CA",,Medical,,,,https://www.ziprecruiter.com/k/l/AAIvbVvllIshi3f3y5r99xZmep7kWM5rX8m3xYpmXXUr8dOqiFAmhJUVInQY6MT9PPd9Po9Nop86C4nBvkSKm4aPv3kTeWSN1saw7oMEzYhKaCHEdzuwwpabJTstKFoSqMSLzUsO8fvmwyrUi7YuH4p6oB_pz3igODfOJ4u8ym27XvRRA_a_DkhXI3NpKsDU36e0_yrmtWpXxDrdrk_MhHe_5fNEc_qxWh4k5cYwm33E42YmpLeDO-bOH3btPw,,2024-04-10 17:51:54.781835
Travel Store Merchandiser,SAS Retail Services,/co/SAS-Retail-Services/Jobs/--in-United-States?id=4bcMYEuQScNmgzOjfN6Qo0o38QM=,"Enterprise, OR",,Part-time,,,,https://www.ziprecruiter.com/k/l/AAKffQXuyB2dQiHCZtfav_NwXJnprLRSkqBHb5lkZwGNNd7lXFV96YTMNtQBnI5x1mUapPqmAd-vORQSqJ-AwftGwP3L1f4_Y7o8ghdT6ygxVUE8mracHj4aECuAMbI7Y8fywbWbozG0WnEmOmiQLmA06Iuapbk4l26VJ2IrR4wQKeWaOs5KDz6zBEDxYoeja2heSetaK4IIblL7cVXtTZJkUE9CJ687B8kUs4jfNO60kHix_X8KZ6cCMiVZdA,,2024-04-10 17:51:54.781835
Medical Assistant,All's Well,/co/All%27s-Well/Jobs/--in-United-States,"Whittier, CA",,Full-time,,,,https://www.ziprecruiter.com/k/l/AALj3kPJHY3sCW8n2Z_OVSys2IIAVSTs0doLfGAde2T2mqDjdSayLJugzyrkFUdgn4msgnr91YCIeBrYeHGnLanJwwtTq6Lb7fzvOGkXKWq0FdofR1ehu5zDgnc6jHKHhcVD7gVlrXXGf_IsIAFiXovECSwtps0V1XfBbujuVTVXUJiLSa1BwCm05nG0tNP1uJ_Xqj87vH147hnVJmg9m7dksY5GnToxyzuqv_T4EjRJnAIyKftj4V82YDYPNQ,,2024-04-10 17:51:54.781835
"Administrative Assistant, Lathrop - Full Time , Lathrop, CA Tuesday-Saturday 4:30am-5:30pm, with ...",Macy's,/co/Macy%27s/Jobs/--in-United-States?id=ztoGHFFbzYKfXkcjh3WDTxmaNOo=,"Lathrop, CA",,Full-time,,,,https://www.ziprecruiter.com/k/l/AAJ65v_kcxfPedUMWoghbtJ_RiKKUUysfXgzApie9v__4EaNgAthgrP8SKA5ihKRlqO1ausI_gQwH5ua3lFPQyR648M6yT-nNaiEL3DVE1UU_mkMaNal3WdezhlTXsBfTbRDnPuwrM1k9TVh5muCmGXXjtSiFWo-0-mdFHnKm0PfTI4mr6mO31wfdaUHo4Viyf7csFEO78Ds6j3ZNZ1IPZ3Jf7UIJS07P-EfYdTGbdK0OmfaMUKY-SyEj7klbtw,,2024-04-10 17:51:54.781835
Receptionist,Canfield Place,/co/Canfield-Place/Jobs/--in-United-States,"Beaverton, OR",,Full-time,,,,https://www.ziprecruiter.com/k/l/AAKm7g4zRuw80Ns4P_ieNmQokfoR3fwz6A3dnCE3MqBIZ7zNeFDUFkMc3s2ULb9OckpAwBhCxcg4m-twI4Fgda1V6upq90P0JQBIe0KMwTzW9h5R00_Upa_axNcONmpbfXR7rG0aV7vrmn2FT0e13eENcohsg4otqukfTNFGVIUfCuXfD32D7FawVXa4QSLQ3hC3bhigQ6YaG3GyFZHJkg1I4nJO-DoXpgLDzvxdOidDMvEXUCCFMPhTKmXibII,,2024-04-10 17:51:54.781835
Fraud Customer Service Representative,CONDUENT,/co/CONDUENT/Jobs/--in-United-States?id=gJOhjMqgZqFAepMdv0y+ymlLdbE=,"San Antonio, TX",,Full-time,,,,https://www.ziprecruiter.com/k/l/AAJ3H9IAYzp45Jeanvp-12XsHBkPvEHFfQX_S8EOIYqjh-I2BB6C6-bxG4-uDAUDPdLx6SW-OHC4Kk6P2o-iwV3WWqdZx6bCNlkXzxgpPLX9Zwhde6EBU-LAKAjDMdPaRWalNUdvvD3bWMsHKCCJpI-A7YpaXK5E-6YbzwtTBJP7YGODYOT4utGbGSMcXq7LUTMGcudsxS72lsxv61Ixk6UnrIGE5OOMl9k13yotgX7XQNnCnNYChpat3XnDrMI,,2024-04-10 17:51:54.781835
